Age,Gender,Nationality,Occupation,Monthly_Income,City,HealthDrinkFreq,HealthInfoSource,DietaryRestrictions,RegularBeverages,HealthyLifestyleImportance,HealthDrinkPreferences,DietChallenges,PurchaseLocation,WillingnessToSpend,LikelihoodTryNewBrand,WillingToSwitch,TryDrivers,FlavorPreferences,FunctionalNeeds,DrinkPerceptions,AssociatedBrands,LikelihoodToRecommend,SubscriptionInterest,Comments
25-34,Female,Western Expat,Homemaker,">50,000",Abu Dhabi,Daily,Health Professionals,"Vegetarian, Vegan","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Milk",Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Convenience, Other","Lack of Time, Limited Options",Other,11-15,Very Likely,No,"Discounts, Recommendations, Health Benefits","Citrus, Herbal, Chocolate","Digestion, Energy, Weight Management, Skin/Hair health, Stress Relief",Other,"BrandA, Brand_M",Very Unlikely,No,
45-54,Other,Emirati,Student,">50,000",Dubai,Frequently,Friends/Family,"Vegetarian, Vegan, Lactose-Free","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee",Important,Brand Reputation,"Lack of Information, Limited Options, None",Cafes/Restaurants,>25,Likely,Yes,"Discounts, Recommendations",Other,"Digestion, Energy, Skin/Hair health","Too Expensive, Not Tasty, Not Widely Available, Innovative","BrandC, Brand_P",Likely,Maybe,
Under 18,Other,Arab Expat,Student,"<5,000",Sharjah,Rarely,Magazines/TV,"Gluten-Free, Diabetic","Water, Tea/Coffee",Very Important,"Taste, Low Sugar, Affordable Price","Lack of Information, Limited Options, Taste Preferences, None",Cafes/Restaurants,5-10,Very Unlikely,Yes,"Free Samples, Discounts, Recommendations",Plain,"Digestion, No Specific Issues","Not Tasty, Not Widely Available, Good Value, High Quality","BrandE, BrandA, BrandB",Unlikely,No,
45-54,Other,Western Expat,Other,"20,001-35,000",Ras Al Khaimah,Daily,Friends/Family,"Vegan, Lactose-Free, Diabetic","Water, Juices, Milk, Other",Very Important,"Low Sugar, Natural Ingredients, Affordable Price, Other",Cost,Online,11-15,Unlikely,Maybe,"Free Samples, Discounts, Other","Citrus, Herbal, Plain","Immunity, Skin/Hair health, Stress Relief","Not Tasty, Innovative","Brand_G, BrandE, BrandD",Very Likely,No,
Under 18,Prefer not to say,Arab Expat,Homemaker,">50,000",Abu Dhabi,Daily,Magazines/TV,"Vegetarian, Vegan","Water, Soft Drinks, Energy Drinks, Tea/Coffee, Other",Very Important,"Low Sugar, Affordable Price, Brand Reputation","Lack of Time, Cost, Limited Options, Taste Preferences, None",Supermarkets,<5,Very Likely,Yes,"Free Samples, Discounts, Attractive Packaging, Other","Citrus, Herbal, Plain","Immunity, Digestion, Energy, Weight Management, Stress Relief","Not Tasty, Good Value, Innovative","BrandA, BrandB, Brand_R",Very Likely,Maybe,
45-54,Other,Asian Expat,Business Owner,"35,001-50,000",Abu Dhabi,Never,Health Professionals,"Vegetarian, Lactose-Free, Diabetic","Water, Soft Drinks, Energy Drinks",Extremely Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Convenience, Other","Lack of Time, Limited Options, Taste Preferences",Convenience Stores,>25,Very Likely,No,"Free Samples, Recommendations, Attractive Packaging","Citrus, Tropical, Herbal, Chocolate","Immunity, Digestion, Weight Management, Stress Relief","Too Expensive, Not Widely Available, Good Value, High Quality","BrandB, Brand_U",Neutral,Maybe,
25-34,Female,Asian Expat,Retired,"<5,000",Abu Dhabi,Never,Health Professionals,"Vegetarian, Vegan","Water, Sports Drinks, Tea/Coffee",Extremely Important,"Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation","Lack of Time, Lack of Information, Limited Options, Taste Preferences",Cafes/Restaurants,>25,Very Likely,No,"Free Samples, Discounts, Recommendations","Tropical, Plain","Weight Management, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, High Quality, Innovative","BrandC, BrandE, BrandA, Brand_F",Likely,Maybe,
45-54,Female,Arab Expat,Homemaker,"5,000-10,000",Abu Dhabi,Daily,Health Professionals,"Vegetarian, Gluten-Free, Diabetic","Water, Soft Drinks, Energy Drinks, Sports Drinks, Tea/Coffee",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Brand Reputation, Convenience, Other","Lack of Time, Cost, Lack of Information",Gyms,>25,Unlikely,No,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal","Energy, Stress Relief","Not Tasty, Good Value, High Quality","Brand_J, BrandD",Very Likely,No,
55+,Female,Arab Expat,Business Owner,"20,001-35,000",Dubai,Never,Other,"Vegetarian, Vegan, Gluten-Free, Diabetic","Water, Energy Drinks, Sports Drinks, Tea/Coffee",Extremely Important,"Low Sugar, Affordable Price","Lack of Information, Limited Options, None",Gyms,>25,Neutral,No,"Free Samples, Discounts, Health Benefits","Tropical, Plain","Immunity, Digestion","Too Expensive, High Quality","Brand_Y, BrandD",Neutral,Yes,
Under 18,Male,Other,Homemaker,"10,001-20,000",Abu Dhabi,Daily,Social Media,"Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Energy Drinks, Sports Drinks, Tea/Coffee",Very Important,"Taste, Low Sugar, Affordable Price","Cost, None",Online,11-15,Unlikely,Yes,"Attractive Packaging, Health Benefits","Citrus, Tropical, Chocolate","Immunity, Digestion, No Specific Issues","Not Tasty, Other","BrandB, BrandD, Brand_X",Neutral,Yes,
Under 18,Female,Emirati,Student,"5,000-10,000",Ajman,Daily,Other,"Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Very Important,"Low Sugar, Convenience, Other","Lack of Information, Limited Options, Taste Preferences, None",Online,16-25,Very Unlikely,Maybe,"Free Samples, Attractive Packaging","Citrus, Herbal, Chocolate","Digestion, Skin/Hair health","Not Widely Available, High Quality, Innovative","BrandA, Brand_Z",Neutral,No,
35-44,Female,Asian Expat,Homemaker,"<5,000",Other,Rarely,Friends/Family,"Vegetarian, Gluten-Free, Diabetic","Water, Energy Drinks, Sports Drinks, Milk",Extremely Important,"Taste, Natural Ingredients, Affordable Price, Brand Reputation","Cost, Lack of Information, Limited Options",Other,<5,Unlikely,Yes,"Free Samples, Discounts",Chocolate,"Immunity, Weight Management, Skin/Hair health, Stress Relief","Not Widely Available, Good Value, Other","BrandE, BrandA, BrandB",Very Likely,No,
55+,Other,Arab Expat,Homemaker,"10,001-20,000",Abu Dhabi,Rarely,Social Media,"Vegetarian, Lactose-Free","Water, Soft Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Extremely Important,"Low Sugar, Added Vitamins, Other","Cost, None",Supermarkets,16-25,Very Likely,No,"Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal, Chocolate, Plain, Other","Stress Relief, No Specific Issues","Not Tasty, High Quality","BrandB, Brand_I",Unlikely,Maybe,
45-54,Prefer not to say,Western Expat,Homemaker,"5,000-10,000",Dubai,Frequently,Health Professionals,"Vegetarian, Vegan, Diabetic","Water, Soft Drinks, Tea/Coffee, Other",Not Important,"Natural Ingredients, Added Vitamins","Lack of Information, Taste Preferences, None",Online,16-25,Neutral,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other",Citrus,"Energy, Weight Management",Innovative,"Brand_J, BrandB",Neutral,Maybe,
25-34,Other,Emirati,Homemaker,"35,001-50,000",Abu Dhabi,Rarely,Health Professionals,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Tea/Coffee, Milk",Somewhat Important,"Low Sugar, Affordable Price, Brand Reputation, Convenience","Lack of Time, Cost, Taste Preferences",Other,11-15,Neutral,Maybe,"Discounts, Recommendations, Attractive Packaging, Health Benefits","Berries, Other","Immunity, Energy, Stress Relief","Not Widely Available, Good Value, Innovative","BrandE, Brand_M",Very Unlikely,Maybe,
35-44,Male,Western Expat,Other,"<5,000",Dubai,Occasionally,Health Professionals,"Vegetarian, Lactose-Free","Water, Juices, Sports Drinks, Tea/Coffee",Not Important,"Taste, Added Vitamins, Affordable Price, Convenience","Cost, Limited Options, None",Other,>25,Very Unlikely,No,Discounts,"Berries, Tropical, Chocolate, Plain","Immunity, Energy, Stress Relief","Not Tasty, High Quality, Other","BrandE, BrandB",Unlikely,Yes,
55+,Male,Emirati,Retired,"10,001-20,000",Abu Dhabi,Occasionally,Magazines/TV,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Sports Drinks",Somewhat Important,"Taste, Natural Ingredients, Affordable Price, Other","Lack of Time, Limited Options, None",Other,>25,Very Unlikely,No,"Discounts, Recommendations, Other","Citrus, Tropical, Other","Immunity, Energy, Weight Management",Other,"BrandB, BrandD",Unlikely,No,
45-54,Male,Western Expat,Other,">50,000",Other,Never,Friends/Family,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Tea/Coffee, Milk, Other",Extremely Important,"Taste, Natural Ingredients, Affordable Price, Convenience, Other",Lack of Information,Cafes/Restaurants,11-15,Likely,Yes,"Free Samples, Discounts, Attractive Packaging","Chocolate, Other","Digestion, Weight Management, Stress Relief","Too Expensive, Not Widely Available, Good Value","BrandB, BrandD",Very Unlikely,No,
25-34,Female,Asian Expat,Student,"35,001-50,000",Abu Dhabi,Occasionally,Other,"Vegan, Lactose-Free, Diabetic","Water, Juices, Energy Drinks",Extremely Important,"Taste, Natural Ingredients, Convenience","Cost, Lack of Information, Limited Options",Cafes/Restaurants,11-15,Likely,Maybe,"Free Samples, Discounts, Attractive Packaging, Health Benefits","Citrus, Tropical, Herbal, Chocolate","Digestion, No Specific Issues","Too Expensive, Not Tasty, High Quality, Innovative, Other","BrandA, Brand_X",Very Likely,Yes,
45-54,Female,Arab Expat,Student,">50,000",Ajman,Rarely,Friends/Family,"Vegetarian, Vegan, Diabetic","Water, Sports Drinks, Tea/Coffee, Milk",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Convenience","Lack of Time, Cost, Limited Options",Convenience Stores,5-10,Likely,Maybe,"Free Samples, Discounts, Attractive Packaging, Other","Tropical, Plain","Immunity, Energy, Weight Management, Skin/Hair health","Good Value, High Quality, Innovative","BrandE, Brand_Y",Very Likely,Maybe,
Under 18,Female,Arab Expat,Business Owner,">50,000",Abu Dhabi,Frequently,Magazines/TV,"Vegetarian, Vegan, Lactose-Free","Water, Soft Drinks, Juices, Energy Drinks, Milk",Not Important,"Low Sugar, Affordable Price, Brand Reputation, Convenience","Limited Options, Taste Preferences",Online,>25,Unlikely,Yes,"Free Samples, Discounts, Recommendations, Health Benefits","Berries, Citrus, Tropical, Chocolate, Plain, Other","Immunity, Digestion, Skin/Hair health, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available, Innovative","BrandE, BrandB, Brand_V",Likely,Maybe,
55+,Prefer not to say,Other,Student,"10,001-20,000",Abu Dhabi,Daily,Magazines/TV,"Vegan, Lactose-Free, Diabetic","Water, Tea/Coffee",Very Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Other","Cost, Limited Options, Taste Preferences",Cafes/Restaurants,<5,Neutral,No,"Free Samples, Attractive Packaging","Citrus, Chocolate, Other","Digestion, Energy, Weight Management, Stress Relief","Not Widely Available, Good Value, High Quality","BrandB, Brand_Y",Very Likely,Maybe,
55+,Other,Arab Expat,Other,"20,001-35,000",Dubai,Frequently,Friends/Family,"Vegetarian, Vegan, Gluten-Free, Lactose-Free","Water, Juices, Milk, Other",Somewhat Important,"Taste, Low Sugar, Natural Ingredients, Other","Lack of Time, Lack of Information, Taste Preferences, None",Gyms,5-10,Very Unlikely,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging","Berries, Tropical, Herbal, Chocolate, Plain","Immunity, Digestion, Weight Management, Skin/Hair health, Stress Relief","Too Expensive, Innovative, Other","BrandE, Brand_M",Likely,Maybe,
35-44,Female,Asian Expat,Student,"20,001-35,000",Dubai,Rarely,Magazines/TV,"Vegetarian, Vegan, Gluten-Free, Diabetic","Water, Juices, Energy Drinks, Sports Drinks, Milk, Other",Not Important,"Low Sugar, Brand Reputation, Convenience","Lack of Time, Lack of Information, Limited Options, Taste Preferences, None",Other,16-25,Likely,Yes,"Free Samples, Discounts, Recommendations, Attractive Packaging, Health Benefits","Tropical, Other","Immunity, Skin/Hair health, Stress Relief",High Quality,"BrandC, Brand_Y, BrandD",Neutral,Yes,
25-34,Male,Emirati,Business Owner,"<5,000",Abu Dhabi,Rarely,Social Media,Vegan,"Water, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Extremely Important,"Taste, Natural Ingredients, Added Vitamins, Convenience, Other","Cost, None",Gyms,>25,Very Unlikely,Maybe,Attractive Packaging,"Berries, Tropical, Plain","Digestion, Energy, Weight Management, Stress Relief","Too Expensive, Not Tasty, Good Value","Brand_H, BrandD",Very Likely,Maybe,
18-24,Prefer not to say,Emirati,Business Owner,"10,001-20,000",Ajman,Rarely,Health Professionals,"Vegetarian, Vegan, Gluten-Free, Diabetic","Soft Drinks, Juices, Tea/Coffee, Other",Very Important,"Added Vitamins, Affordable Price, Brand Reputation, Convenience","Lack of Information, Limited Options, None",Convenience Stores,11-15,Likely,Yes,"Free Samples, Discounts, Health Benefits","Tropical, Plain","Immunity, Digestion, Skin/Hair health, Stress Relief","Not Tasty, Not Widely Available, Innovative","BrandA, Brand_T",Very Likely,Maybe,
45-54,Prefer not to say,Arab Expat,Other,"20,001-35,000",Dubai,Never,Other,Gluten-Free,"Water, Soft Drinks, Sports Drinks, Tea/Coffee, Milk",Not Important,"Low Sugar, Natural Ingredients, Brand Reputation, Convenience","Lack of Information, Limited Options",Supermarkets,11-15,Unlikely,Maybe,"Discounts, Attractive Packaging, Health Benefits","Berries, Citrus, Tropical, Herbal","Immunity, Energy, Weight Management, Stress Relief, No Specific Issues","Not Tasty, Not Widely Available, Good Value, High Quality","BrandE, BrandA",Very Unlikely,Yes,
25-34,Male,Western Expat,Student,"5,000-10,000",Ajman,Occasionally,Magazines/TV,None,"Water, Soft Drinks, Energy Drinks, Tea/Coffee, Other",Somewhat Important,"Taste, Natural Ingredients, Added Vitamins, Convenience","Lack of Time, Cost, Limited Options, Taste Preferences, None",Convenience Stores,11-15,Unlikely,No,"Discounts, Recommendations, Health Benefits","Berries, Other","Immunity, Energy, Weight Management, Skin/Hair health, No Specific Issues",Innovative,"BrandA, BrandB, Brand_L",Neutral,Maybe,
18-24,Female,Arab Expat,Retired,"5,000-10,000",Dubai,Rarely,Other,"Vegetarian, Vegan, Lactose-Free","Water, Soft Drinks, Tea/Coffee, Other",Extremely Important,"Low Sugar, Natural Ingredients, Brand Reputation, Convenience","Lack of Time, Cost, Lack of Information, Taste Preferences, None",Convenience Stores,>25,Very Likely,No,"Free Samples, Recommendations, Health Benefits","Berries, Herbal, Chocolate, Plain","Digestion, Energy, No Specific Issues","Not Tasty, High Quality","BrandC, Brand_K, BrandB",Likely,Yes,
25-34,Prefer not to say,Emirati,Business Owner,"20,001-35,000",Other,Daily,Health Professionals,"Vegetarian, Vegan, Gluten-Free, Diabetic","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Milk",Somewhat Important,"Low Sugar, Affordable Price, Brand Reputation, Convenience","Cost, Taste Preferences",Online,<5,Very Unlikely,Maybe,"Free Samples, Discounts, Recommendations, Other","Berries, Tropical, Herbal, Plain","Digestion, Stress Relief, No Specific Issues","Too Expensive, Good Value, Innovative","BrandC, Brand_H",Neutral,Maybe,
45-54,Male,Other,Student,">50,000",Ajman,Occasionally,Friends/Family,"Vegetarian, Gluten-Free",Soft Drinks,Extremely Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Convenience, Other",Limited Options,Other,11-15,Very Likely,Maybe,"Recommendations, Health Benefits, Other","Berries, Citrus, Tropical, Herbal, Chocolate","Immunity, Energy","Too Expensive, Not Tasty, High Quality, Innovative","Brand_N, BrandD",Unlikely,No,
45-54,Female,Emirati,Student,">50,000",Other,Occasionally,Health Professionals,"Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Tea/Coffee, Other",Extremely Important,"Taste, Natural Ingredients, Affordable Price, Brand Reputation, Convenience","Lack of Time, Cost, Limited Options",Convenience Stores,>25,Unlikely,Maybe,"Free Samples, Recommendations, Health Benefits, Other","Berries, Citrus, Chocolate, Plain","Energy, Stress Relief, No Specific Issues","Not Tasty, High Quality, Other","Brand_I, BrandD",Very Unlikely,Maybe,
35-44,Prefer not to say,Western Expat,Retired,"20,001-35,000",Other,Never,Other,"Vegan, Gluten-Free, Lactose-Free","Water, Juices, Tea/Coffee, Other",Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins","Lack of Time, Cost, Lack of Information, Limited Options",Other,16-25,Unlikely,Yes,"Free Samples, Attractive Packaging, Health Benefits","Herbal, Chocolate","Immunity, Digestion, Weight Management, No Specific Issues","Not Widely Available, High Quality, Innovative","BrandC, Brand_K, BrandB",Unlikely,No,
55+,Prefer not to say,Western Expat,Other,"<5,000",Dubai,Frequently,Social Media,"Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Milk",Somewhat Important,"Natural Ingredients, Affordable Price, Brand Reputation, Convenience","Cost, Lack of Information, Limited Options",Gyms,5-10,Very Unlikely,No,"Free Samples, Discounts","Berries, Citrus, Chocolate","Immunity, No Specific Issues","Too Expensive, Not Widely Available, High Quality","BrandE, BrandA, BrandB",Likely,Yes,
55+,Other,Other,Other,">50,000",Ajman,Occasionally,Friends/Family,Vegan,"Water, Juices, Sports Drinks",Very Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price","Lack of Time, Cost, Lack of Information, Limited Options, Taste Preferences",Supermarkets,>25,Very Likely,Yes,"Discounts, Attractive Packaging, Health Benefits, Other","Citrus, Other","Immunity, Weight Management, Skin/Hair health","Too Expensive, Not Tasty, Good Value, Other","Brand_Y, BrandD",Very Likely,Maybe,
55+,Other,Western Expat,Student,"<5,000",Sharjah,Occasionally,Magazines/TV,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee",Extremely Important,Affordable Price,"Lack of Time, Cost, Lack of Information, None",Supermarkets,>25,Very Likely,No,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other",Herbal,"Digestion, Energy, Skin/Hair health, No Specific Issues","Too Expensive, Not Widely Available, Other","BrandE, BrandA, BrandD",Very Likely,Maybe,
